PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.FastaFiles,PG.Qvalue,PG.Cscore,Q2305_FS_230428_NoRNA_str_AMP_1_052.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_AMP_2_055.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_AMP_3_058.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_Beads_1_031.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_Beads_2_034.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_Beads_3_038.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_K57A_1_041.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_K57A_2_044.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_K57A_3_048.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_AMP_1_021.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_AMP_2_024.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_AMP_3_028.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_Beads_1_002.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_Beads_2_005.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_Beads_3_008.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_K57A_1_011.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_K57A_2_015.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_K57A_3_018.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_AMP_1_052.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_AMP_2_055.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_AMP_3_058.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_Beads_1_031.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_Beads_2_034.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_Beads_3_038.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_K57A_1_041.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_K57A_2_044.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_K57A_3_048.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_AMP_1_021.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_AMP_2_024.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_AMP_3_028.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_Beads_1_002.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_Beads_2_005.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_Beads_3_008.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_K57A_1_011.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_K57A_2_015.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_K57A_3_018.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_AMP_1_052.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_AMP_2_055.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_AMP_3_058.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_Beads_1_031.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_Beads_2_034.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_Beads_3_038.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_K57A_1_041.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_K57A_2_044.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_K57A_3_048.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_AMP_1_021.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_AMP_2_024.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_AMP_3_028.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_Beads_1_002.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_Beads_2_005.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_Beads_3_008.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_K57A_1_011.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_K57A_2_015.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_K57A_3_018.raw.PG.Quantity
P10809,P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",P10809,CH60_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,55.899647,39,53,62,74,69,70,78,77,79,63,55,68,76,70,77,78,75,77,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,202855.703125,217317.625,292563.8125,274902.84375,230068.859375,233915.78125,407910.03125,348935.125,458879.65625,242547.546875,172086.484375,399052.84375,314713.5,407208.8125,302292.8125,492765.5625,345332.09375,393760.4375
P11021,P11021,HSPA5,Endoplasmic reticulum chaperone BiP,P11021,BIP_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,54.43869,72,79,75,97,97,97,98,100,99,77,75,76,96,94,95,96,97,97,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,508612.03125,518355.5,462869.9375,1212179.25,1039020.75,1133593,1139990.25,1181559.625,877957.375,335923.90625,303023.4375,344806.9375,777195.4375,852286,761526.6875,554082.8125,679533.75,656189.375
P11047,P11047,LAMC1,Laminin subunit gamma-1,P11047,LAMC1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,43.3737,0,0,0,3,2,2,2,3,4,0,0,0,6,5,5,3,3,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NaN,NaN,NaN,26724.27734375,18768.279296875,12153.6103515625,15206.5126953125,11551.712890625,15828.6611328125,NaN,NaN,NaN,23699.1171875,23076.009765625,19636,9890.744140625,9546.1357421875,13717.60546875
P11137,P11137,MAP2,Microtubule-associated protein 2,P11137,MTAP2_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0.0003362474781439139,39.63839,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1009.8914794921875,2030.1856689453125,NaN,8919.56640625,3453.450439453125,NaN,4810.376953125,374.231201171875,2289.0771484375,1286.53076171875,NaN,1.6101890802383423,10407.544921875,NaN,5978.599609375,385.4393615722656,NaN,497.5218200683594
P11142,P11142,HSPA8,Heat shock cognate 71 kDa protein,P11142,HSP7C_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,54.48182,69,71,70,81,81,82,83,83,83,76,72,79,80,81,79,82,81,82,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1612166,1724369.625,1678313.875,3214290.5,3008214,3355876,2529651.75,2665680,2130726.25,879983.75,841825.8125,912528.625,1857512.125,1925500,1821499,1171848.625,1373021.25,1319937.125
P11166,P11166,SLC2A1,"Solute carrier family 2, facilitated glucose transporter member 1",P11166,GTR1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,50.58244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8547.8740234375,6884.32763671875,6115.8994140625,17944.1328125,14618.19921875,15586.564453125,11258.5947265625,10415.3525390625,11460.8671875,12707.853515625,13743.7998046875,10459.169921875,18693.865234375,21278.87890625,18837.8046875,14559.7294921875,14520.912109375,11430.2607421875
P11171,P11171,EPB41,Protein 4.1,P11171,EPB41_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,46.179157,3,5,3,7,7,6,7,6,7,4,4,3,7,4,3,7,2,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12748.2978515625,14610.505859375,16447.974609375,22675.509765625,35885.47265625,17878.134765625,28514.416015625,18631.455078125,25434.5703125,21184.7890625,16702.142578125,28766.30078125,14860.736328125,8339.5908203125,11346.873046875,18178.14453125,18603.708984375,17915.072265625
P11172,P11172,UMPS,Uridine 5'-monophosphate synthase,P11172,UMPS_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,54.017784,4,4,4,9,10,10,11,12,14,5,3,6,11,9,11,10,7,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14176.912109375,12591.88671875,18016.458984375,20247.615234375,17800.912109375,16210.60546875,21260.556640625,19195.953125,26253.994140625,11575.2880859375,13043.7314453125,11969.6181640625,13477.8544921875,15421.3310546875,14698.6904296875,16237.4814453125,9693.7119140625,10520.888671875
P11177,P11177,PDHB,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",P11177,ODPB_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,51.147087,7,7,8,12,15,11,13,13,14,8,8,12,12,11,14,12,8,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,71366.203125,61463.49609375,78151.359375,81769.515625,68798.890625,87405.421875,82935.3125,73776.1640625,95502.171875,32184.193359375,32035.220703125,48808.546875,58348.98046875,49077.02734375,57132.328125,52721.5234375,32730.0078125,36937.9765625
P11182,P11182,DBT,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",P11182,ODB2_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,53.559956,58,58,54,70,71,70,68,68,67,44,44,47,66,62,65,58,56,58,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,717947.4375,725278.1875,505097.90625,983005.1875,1095680.125,1010692.3125,615241.125,607418.5625,374336.625,100260.171875,80382.859375,113560.5390625,399075.78125,418961.5625,371761.5,95777.9765625,131734.578125,129232.4140625
P11279,P11279,LAMP1,Lysosome-associated membrane glycoprotein 1,P11279,LAMP1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,48.02155,3,4,3,4,5,4,5,5,5,3,2,2,5,5,4,5,5,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20840.029296875,36066.5703125,25790.15234375,39625.3671875,45177.59765625,23823.359375,33685.01953125,35088.125,39478.98046875,27138.734375,17802.15625,32109.05859375,25858.8515625,37264.30078125,26840.908203125,36087.140625,21400.189453125,21843.357421875
P11310,P11310,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",P11310,ACADM_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,49.895405,6,9,6,13,11,11,15,13,15,7,8,11,12,13,12,13,11,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23355.806640625,15945.3232421875,26202.208984375,33366.1640625,29692.142578125,29347.267578125,29926.71484375,32270.15234375,38905.22265625,31225.521484375,31931.859375,28393.474609375,41120.23046875,41059.43359375,40631.70703125,36184.359375,26159.830078125,23603.201171875
P11387,P11387,TOP1,DNA topoisomerase 1,P11387,TOP1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,52.34394,14,19,15,4,7,6,16,20,19,21,21,19,6,11,9,20,21,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,61197.89453125,92286.9765625,81255.140625,11382.1953125,12682.0341796875,12908.787109375,34954.55078125,42202.62890625,45710.453125,123170.21875,127065.390625,63937.84765625,14563.248046875,14643.041015625,9990.0791015625,46459.40234375,52650.23046875,42271.02734375
P11413,P11413,G6PD,Glucose-6-phosphate 1-dehydrogenase,P11413,G6PD_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,55.597145,0,1,2,1,1,1,3,3,3,1,0,3,1,1,1,3,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NaN,7416.53662109375,26355.982421875,4160.31298828125,6506.35986328125,5566.43115234375,23783.1328125,20682.0078125,21666.7734375,60396.2421875,NaN,30928.4453125,5907.2958984375,5275.6357421875,5485.5029296875,25765.9609375,25332.251953125,23282.611328125
P11441,P11441,UBL4A,Ubiquitin-like protein 4A,P11441,UBL4A_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0.005860579888957434,35.38904,1,1,0,2,2,2,2,2,2,0,0,1,0,2,0,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1435.855712890625,3460.309326171875,NaN,7402.28857421875,6356.35546875,5458.41748046875,6795.2041015625,5312.0986328125,7360.7626953125,NaN,NaN,2279.18896484375,NaN,4149.6259765625,NaN,8105.662109375,2689.059326171875,2854.042236328125
P11498,P11498,PC,"Pyruvate carboxylase, mitochondrial",P11498,PYC_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,54.38598,126,135,124,164,165,165,161,154,153,149,152,148,168,160,165,164,158,162,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1495073.75,1405132.75,1160750.125,3584576.5,2674632.25,2814899.5,1297982.875,1166290.625,824805.375,1536405.5,1673634.25,1793572.625,3300290,3520833.75,3886188.25,1542036.875,1691155.5,1666200.5
P11586,P11586,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic",P11586,C1TC_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,58.168198,17,24,24,30,36,29,40,41,48,37,40,41,44,38,43,47,43,42,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,55983.83984375,51592.8125,96376.1875,75855.296875,69182.53125,74833.8046875,86444.9453125,81479.03125,152503.765625,115310.1328125,119084.2109375,134823.59375,120591.390625,120104.3125,131300.015625,135411.015625,103841.84375,114205.09375
P11717,P11717,IGF2R,Cation-independent mannose-6-phosphate receptor,P11717,MPRI_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,54.28986,16,19,16,35,38,37,37,39,41,22,20,23,36,38,36,37,36,35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18179.5,19095.18359375,24999.05078125,39584.140625,32541,32228.630859375,35473.65234375,34512.82421875,39882.1328125,20791.0390625,20345.42578125,17838.64453125,38313.8203125,41698.66015625,40093.44921875,24013.84375,24093.345703125,24784.490234375
P11766,P11766,ADH5,Alcohol dehydrogenase class-3,P11766,ADHX_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,50.654144,1,1,3,2,3,3,2,3,3,0,0,1,1,3,3,3,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,127293.8359375,90033.2265625,163354.53125,130072.7421875,145640.546875,166668.390625,152580.34375,131731.625,189733.375,NaN,NaN,33954.75390625,273254.5625,137446.421875,121522.6875,118163.109375,NaN,58033.1796875
P11802,P11802,CDK4,Cyclin-dependent kinase 4,P11802,CDK4_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,54.91775,12,11,8,15,19,20,25,24,25,1,2,3,4,4,6,10,8,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24362.052734375,32347.587890625,25407.912109375,15594.5458984375,17940.044921875,19679.294921875,68376.75,56257.59765625,59118.453125,9209.5439453125,63.121910095214844,9646.11328125,2079.427978515625,3071.880859375,2451.595947265625,5890.796875,9205.3935546875,6290.98779296875
P11908,P11908,PRPS2,Ribose-phosphate pyrophosphokinase 2,P11908,PRPS2_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,52.59509,3,2,4,3,3,5,6,6,6,5,5,4,4,4,5,5,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18522.958984375,18489.29296875,23184.5,25102.06640625,17914.001953125,15558.017578125,20702.32421875,16576.12890625,22708.19921875,10335.111328125,9120.822265625,11458.208984375,14160.0419921875,11832.7001953125,10258.4228515625,15244.20703125,8862.0888671875,7187.12744140625
P11940,P11940,PABPC1,Polyadenylate-binding protein 1,P11940,PABP1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,51.402508,31,35,32,47,48,45,46,46,49,45,41,41,51,51,49,49,47,47,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,392737.65625,393122.96875,436878.03125,475144.53125,463120.84375,522389.25,322382.84375,342672.25,386383.75,439480.78125,413598.3125,359256.5,704370.375,652380.25,380180.6875,429658.75,459497.96875,327703.90625
P12004,P12004,PCNA,Proliferating cell nuclear antigen,P12004,PCNA_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,53.641838,17,17,20,24,24,23,25,25,25,15,18,19,24,24,24,24,23,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40562.85546875,42845.2890625,46798.609375,80713.203125,65270.4140625,72637.203125,86914.953125,77148.7578125,78938.4140625,30644.013671875,27829.07421875,31613.447265625,48922.875,55813.109375,47380.01171875,40483.13671875,36415.1015625,32345.48046875
P12074,P12074,COX6A1,"Cytochrome c oxidase subunit 6A1, mitochondrial",P12074,CX6A1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0.007965686274509803,34.979843,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,NaN,NaN,NaN,545.6530151367188,468.9111022949219,543.4385986328125,2571.400634765625,5586.3935546875,4911.8427734375,NaN,NaN,10151.3046875,1.349633812904358,1.889823317527771,1.5688118934631348,8489.8955078125,15472.185546875,10149.818359375
P12081,P12081,HARS1,"Histidine--tRNA ligase, cytoplasmic",P12081,HARS1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,53.428368,3,4,6,2,7,2,10,8,10,9,8,6,3,3,5,8,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23561.900390625,28071.208984375,29585.90234375,13196.82421875,12612.8505859375,11054.2666015625,25199.888671875,21242.888671875,33261.10546875,31314.275390625,37541.55859375,20491.671875,14015.7177734375,13671.5810546875,7305.7607421875,34284.8828125,18617.515625,NaN
P12235,P12235,SLC25A4,ADP/ATP translocase 1,P12235,ADT1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,51.97531,5,7,7,6,6,6,7,6,9,5,7,6,6,4,7,7,7,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,56412.66796875,31085.234375,34376.171875,22882.966796875,22893.556640625,22282.146484375,32139.095703125,31487.0625,44565.359375,20918.521484375,25606.318359375,15119.6474609375,23293.87109375,17937.22265625,20068.74609375,25036.3203125,18913.25390625,19410.41796875
P12236,P12236,SLC25A6,ADP/ATP translocase 3,P12236,ADT3_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,51.712955,9,7,6,7,7,8,8,8,10,6,6,6,7,6,6,7,7,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,146244.71875,103162.1953125,138844.671875,73666.171875,60657.921875,51571.55078125,81820.0234375,62052.67578125,120284.5390625,76321.6328125,88593.359375,69395.1171875,35445.109375,37714.0703125,50674.765625,65220.61328125,45001.71875,54155.26171875
P12268,P12268,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2,P12268,IMDH2_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,57.248234,6,8,12,15,17,15,18,17,18,10,7,13,18,19,18,18,13,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19763.677734375,23293.076171875,46405.69921875,38258.40625,47644.99609375,37224,56997.96484375,56051.91015625,89000.09375,23710.955078125,17345.099609375,36443.0078125,67690.7734375,74362.3046875,66405.234375,84289.8203125,42957.62890625,49007.796875
P12270,P12270,TPR,Nucleoprotein TPR,P12270,TPR_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,55.575684,12,19,14,44,45,42,41,37,41,24,23,32,56,53,53,49,46,47,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17888.5625,21886.365234375,23824.919921875,30090.53125,35541.23828125,32407.548828125,25536.974609375,25562.6484375,27001.57421875,28601.669921875,25175.404296875,36432.890625,60298.54296875,62027.5234375,58069.640625,42090.40625,37653.65625,44467.6796875
P12273,P12273,PIP,Prolactin-inducible protein,P12273,PIP_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,54.094402,4,4,2,9,7,6,5,7,5,4,3,4,8,9,8,6,6,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40627.76171875,30298.822265625,40752.40625,69794.515625,24256.693359375,26804.2734375,28933.43359375,28211.376953125,19267.228515625,18813.62109375,22430.064453125,20296.48828125,33710.87890625,57669.41796875,33586.6640625,32081.462890625,23722.171875,14780.771484375
P12277,P12277,CKB,Creatine kinase B-type,P12277,KCRB_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,51.69662,4,10,28,18,16,12,31,29,39,21,12,21,24,20,23,38,18,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4028.139404296875,16646.955078125,102121.1796875,17583.83984375,7441.5341796875,5293.04443359375,34761.140625,21554.3359375,135039.390625,20954.900390625,8510.5,38749.29296875,24388.208984375,19594.9765625,20662.5703125,121376.65625,11267.8486328125,10873.0546875
P12429,P12429,ANXA3,Annexin A3,P12429,ANXA3_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,43.29645,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5834.14599609375,NaN,NaN,NaN,NaN,NaN,NaN,2448.83203125,NaN,353.4500732421875
P12532,P12532,CKMT1A,"Creatine kinase U-type, mitochondrial",P12532,KCRU_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,54.70754,18,20,12,8,12,4,24,24,25,25,25,25,13,10,16,26,26,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,54788.84375,67020.90625,43499.125,8158.392578125,12925.32421875,7922.38134765625,42467.921875,45564.58984375,34949.53125,112846.5234375,130020.953125,104538.984375,21970.40234375,11977.6953125,24745.041015625,106299.4140625,141204.1875,124104.1484375
P12694,P12694,BCKDHA,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",P12694,ODBA_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,55.384785,28,29,24,44,41,42,43,39,41,17,15,19,38,41,40,30,31,35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,96284.2109375,72970.9609375,54274.42578125,199233.515625,146584.15625,178455.6875,88780.640625,78332.8984375,53498.0625,18564.826171875,13876.0361328125,22129.615234375,80300.453125,77424.1875,76104.2734375,22937.703125,27082.23046875,32579.087890625
P12755,P12755,SKI,Ski oncogene,P12755,SKI_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,47.439404,0,0,0,1,1,1,2,1,1,3,2,3,5,5,4,3,2,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NaN,NaN,NaN,35502.453125,23193.943359375,28456.228515625,988651,3369921.5,2255764,45406.1328125,26918.798828125,56836.8359375,21504.478515625,13505.923828125,24754.259765625,145012.4375,24888.404296875,34662.5625
P12814,P12814,ACTN1,Alpha-actinin-1,P12814,ACTN1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,59.25273,126,154,143,184,188,182,185,180,181,105,98,113,170,162,177,153,147,158,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,363717.4375,530480.5,466329.09375,1404259.5,1662855.125,1236658.25,914088.1875,724635.3125,473290.1875,112539.2109375,86902.46875,128819.3125,504601.96875,741257.4375,641526.75,151906.8125,191283.859375,216478.859375
P12955,P12955,PEPD,Xaa-Pro dipeptidase,P12955,PEPD_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,44.176094,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,7005.18310546875,NaN,32162.15625,5911.203125,8411.9013671875,NaN,6906.14990234375,14210.0537109375,16950.8515625,1496.5478515625,NaN,NaN,NaN,9256.70703125,1114.7646484375,21667.25,NaN,NaN
P12956,P12956,XRCC6,X-ray repair cross-complementing protein 6,P12956,XRCC6_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,54.031067,85,97,90,80,89,89,92,102,104,122,121,121,107,100,100,118,118,120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,684679.75,881854.1875,945233.875,338262.96875,435926.125,457478.65625,292910.375,396337.8125,402777.09375,2823148.5,2546212.5,2458619.75,772217.3125,1021617.125,670383.5,836756.25,1034751.1875,971033.0625
P13010,P13010,XRCC5,X-ray repair cross-complementing protein 5,P13010,XRCC5_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,53.41414,78,90,86,84,88,86,98,101,108,114,117,118,104,97,99,114,114,119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,684672.9375,800022.3125,817225.625,288745.375,346518.28125,385189.625,265592.03125,365832.96875,353073.9375,2751526,2438936.75,2273268.75,714914.125,879789.6875,583390.375,776747.5625,919548.0625,922185.25
P13073,P13073,COX4I1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",P13073,COX41_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,54.926487,3,5,6,10,10,7,11,8,12,3,1,4,5,7,7,11,3,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6303.548828125,8696.2294921875,20934.1328125,24583.5859375,18071.24609375,17401.66015625,24471.521484375,15053.984375,34920.36328125,3596.044189453125,3334.20458984375,6326.11376953125,11960.3779296875,14101.3115234375,12665.5576171875,16245.3857421875,3224.468505859375,4230.5380859375
P13473,P13473,LAMP2,Lysosome-associated membrane glycoprotein 2,P13473,LAMP2_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,48.02565,2,1,3,4,4,3,4,4,4,3,3,2,3,3,3,4,3,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33298.578125,37936.03515625,50241.0234375,40665.87109375,39231.98046875,37296.3046875,91713.71875,79900.3828125,66477.1796875,26404.720703125,23404.15625,31481.46875,32248.322265625,39408.2421875,28101.404296875,55350.90234375,42145.5703125,42489.375
P13489,P13489,RNH1,Ribonuclease inhibitor,P13489,RINI_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,51.566635,7,7,7,16,16,13,24,24,20,2,2,5,11,13,15,15,10,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23481.93359375,23542.109375,22587.603515625,26275.298828125,29630.78515625,27976.50390625,54435.62890625,53250.44140625,51595.61328125,4534.36083984375,2529.003173828125,7307.31005859375,20613.3984375,23418.23046875,21427.20703125,11085.7958984375,7770.1025390625,11825.4521484375
P13639,P13639,EEF2,Elongation factor 2,P13639,EF2_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,54.070168,55,59,73,73,83,72,98,96,98,33,36,58,66,63,69,93,54,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,111937.953125,121341.2109375,255836.625,124394.3359375,142464.921875,116211.796875,223433.5,178811.796875,346522.875,35219.73046875,28677.431640625,68654.3125,68572.6484375,56977.80078125,59267.109375,163032.828125,32738.431640625,33284.078125
